pass_index,x_cm,y_cm,sample_index,device_time_ms,rssi_dbm
1,0,0,0,63404,-24
1,0,0,1,63504,-23
1,0,0,2,63604,-24
1,0,0,3,63704,-25
1,0,0,4,63804,-24
1,0,0,5,63904,-24
1,0,0,6,64004,-25
1,0,0,7,64104,-24
1,0,0,8,64204,-24
1,0,0,9,64304,-24
1,0,0,10,64404,-24
1,0,0,11,64504,-28
1,0,0,12,64604,-25
1,0,0,13,64704,-24
1,0,0,14,64804,-24
1,0,0,15,64904,-25
1,0,0,16,65004,-24
1,0,0,17,65104,-25
1,0,0,18,65204,-25
1,0,0,19,65304,-25
1,0,0,20,65404,-25
1,0,0,21,65504,-25
1,0,0,22,65604,-29
1,0,0,23,65704,-29
1,0,0,24,65804,-25
1,0,0,25,65904,-25
1,0,0,26,66004,-25
1,0,0,27,66104,-25
1,0,0,28,66204,-25
1,0,0,29,66304,-25
1,0,0,30,66404,-26
1,0,0,31,66504,-25
1,0,0,32,66604,-25
1,0,0,33,66704,-25
1,0,0,34,66804,-27
1,0,0,35,66904,-26
1,0,0,36,67004,-25
1,0,0,37,67104,-26
1,0,0,38,67204,-25
1,0,0,39,67304,-25
1,0,0,40,67404,-26
1,0,0,41,67504,-26
1,0,0,42,67604,-25
1,0,0,43,67704,-25
1,0,0,44,67804,-26
1,0,0,45,67904,-25
1,0,0,46,68004,-27
1,0,0,47,68104,-26
1,0,0,48,68204,-26
1,0,0,49,68304,-26
1,50,0,0,80555,-41
1,50,0,1,80655,-39
1,50,0,2,80755,-40
1,50,0,3,80855,-39
1,50,0,4,80955,-40
1,50,0,5,81055,-41
1,50,0,6,81155,-40
1,50,0,7,81255,-41
1,50,0,8,81355,-40
1,50,0,9,81455,-40
1,50,0,10,81555,-42
1,50,0,11,81655,-42
1,50,0,12,81755,-40
1,50,0,13,81855,-40
1,50,0,14,81955,-41
1,50,0,15,82055,-40
1,50,0,16,82155,-41
1,50,0,17,82255,-41
1,50,0,18,82355,-40
1,50,0,19,82455,-41
1,50,0,20,82555,-40
1,50,0,21,82655,-39
1,50,0,22,82755,-41
1,50,0,23,82855,-40
1,50,0,24,82955,-40
1,50,0,25,83055,-39
1,50,0,26,83155,-39
1,50,0,27,83255,-40
1,50,0,28,83355,-39
1,50,0,29,83455,-39
1,50,0,30,83555,-37
1,50,0,31,83655,-39
1,50,0,32,83755,-40
1,50,0,33,83855,-40
1,50,0,34,83955,-39
1,50,0,35,84055,-40
1,50,0,36,84155,-40
1,50,0,37,84255,-40
1,50,0,38,84355,-40
1,50,0,39,84455,-41
1,50,0,40,84555,-40
1,50,0,41,84655,-41
1,50,0,42,84755,-40
1,50,0,43,84855,-39
1,50,0,44,84955,-41
1,50,0,45,85055,-41
1,50,0,46,85155,-39
1,50,0,47,85255,-38
1,50,0,48,85355,-40
1,50,0,49,85455,-40
1,100,0,0,90547,-48
1,100,0,1,90647,-48
1,100,0,2,90747,-47
1,100,0,3,90847,-48
1,100,0,4,90947,-48
1,100,0,5,91047,-48
1,100,0,6,91147,-46
1,100,0,7,91247,-49
1,100,0,8,91347,-48
1,100,0,9,91447,-47
1,100,0,10,91547,-47
1,100,0,11,91647,-47
1,100,0,12,91747,-46
1,100,0,13,91847,-47
1,100,0,14,91947,-46
1,100,0,15,92047,-46
1,100,0,16,92147,-47
1,100,0,17,92247,-49
1,100,0,18,92347,-48
1,100,0,19,92447,-48
1,100,0,20,92547,-49
1,100,0,21,92647,-49
1,100,0,22,92747,-47
1,100,0,23,92847,-47
1,100,0,24,92947,-46
1,100,0,25,93047,-48
1,100,0,26,93147,-47
1,100,0,27,93247,-47
1,100,0,28,93347,-46
1,100,0,29,93447,-46
1,100,0,30,93547,-46
1,100,0,31,93647,-46
1,100,0,32,93747,-48
1,100,0,33,93847,-50
1,100,0,34,93947,-51
1,100,0,35,94047,-48
1,100,0,36,94147,-48
1,100,0,37,94247,-47
1,100,0,38,94347,-47
1,100,0,39,94447,-48
1,100,0,40,94547,-49
1,100,0,41,94647,-49
1,100,0,42,94747,-48
1,100,0,43,94847,-49
1,100,0,44,94947,-48
1,100,0,45,95047,-48
1,100,0,46,95147,-48
1,100,0,47,95247,-48
1,100,0,48,95347,-48
1,100,0,49,95447,-48
1,100,50,0,106912,-42
1,100,50,1,107012,-41
1,100,50,2,107112,-42
1,100,50,3,107212,-41
1,100,50,4,107312,-41
1,100,50,5,107412,-41
1,100,50,6,107512,-40
1,100,50,7,107612,-41
1,100,50,8,107712,-43
1,100,50,9,107812,-42
1,100,50,10,107912,-41
1,100,50,11,108012,-42
1,100,50,12,108112,-42
1,100,50,13,108212,-41
1,100,50,14,108312,-41
1,100,50,15,108412,-41
1,100,50,16,108512,-42
1,100,50,17,108612,-40
1,100,50,18,108712,-40
1,100,50,19,108812,-43
1,100,50,20,108912,-43
1,100,50,21,109012,-41
1,100,50,22,109112,-41
1,100,50,23,109212,-42
1,100,50,24,109312,-42
1,100,50,25,109412,-42
1,100,50,26,109512,-41
1,100,50,27,109612,-41
1,100,50,28,109712,-42
1,100,50,29,109812,-41
1,100,50,30,109912,-43
1,100,50,31,110012,-43
1,100,50,32,110112,-43
1,100,50,33,110212,-41
1,100,50,34,110312,-41
